 name  subgroup  row  col  crate  neighbor_crate
 W307         0   25    1      0              -1
 W308         0   25    2      0               1
 W309         0   25    3      1               0
 W310         0   25    4      1              -1
 W311         0   25    5      1              -1
 W312         0   25    6      1              -1
 W313         0   25    7      1              -1
 W314         0   25    8      1               2
 W315         0   25    9      2               1
 W316         0   25   10      2              -1
 W317         0   25   11      2              -1
 W318         0   25   12      2              -1
 W319         0   25   13      2              -1
 W320         0   25   14      2               3
 W321         0   25   15      3               2
 W322         0   25   16      3              -1
 W323         0   25   17      3              -1
 W324         0   25   18      3              -1
 W325         0   25   19      3              -1
 W326         0   25   20      3               4
 W327         0   25   21      4               3
 W328         0   25   22      4              -1
 W329         0   25   23      4              -1
 W330         0   25   24      4              -1
 W331         0   25   25      4              -1
 W332         0   25   26      4               5
 W333         0   25   27      5               4
 W334         0   25   28      5              -1
 W335         0   25   29      5              -1
 W336         0   25   30      5              -1
 W337         0   25   31      5              -1
 W338         0   25   32      5               6
 W339         0   25   33      6               5
 W340         0   25   34      6              -1
 W341         0   24    1      0              -1
 W342         0   24    2      0               1
 W343         0   24    3      1               0
 W344         0   24    4      1              -1
 W345         0   24    5      1              -1
 W346         0   24    6      1              -1
 W347         0   24    7      1              -1
 W348         0   24    8      1               2
 W349         0   24    9      2               1
 W350         0   24   10      2              -1
 W351         0   24   11      2              -1
 W352         0   24   12      2              -1
 W353         0   24   13      2              -1
 W354         0   24   14      2               3
 W355         0   24   15      3               2
 W356         0   24   16      3              -1
 W357         0   24   17      3              -1
 W358         0   24   18      3              -1
 W359         0   24   19      3              -1
 W360         0   24   20      3               4
 W361         0   24   21      4               3
 W362         0   24   22      4              -1
 W363         0   24   23      4              -1
 W364         0   24   24      4              -1
 W365         0   24   25      4              -1
